method,stage,policy_id,source,seed,generation,valid,is_final_comparison,train_size,val_size,test_size,epochs,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1,runtime_sec,device
none,baseline,,,42,,True,True,510,1020,2040,,0.3382352941176471,0.3967455528838192,0.3151960784313725,0.1686286329210632,203.09184789657593,mps
none,baseline,,,43,,True,True,510,1020,2040,,0.2970588235294117,0.3479785206118928,0.2328431372549019,0.145053844834284,195.67843580245972,mps
none,baseline,,,44,,True,True,510,1020,2040,,0.2411764705882353,0.2968677293957635,0.2397058823529411,0.1553325266159459,202.0497169494629,mps
standard,baseline,,,42,,True,True,510,1020,2040,,0.4392156862745098,0.5082255416834728,0.4259803921568627,0.230953684902556,203.24081301689148,mps
standard,baseline,,,43,,True,True,510,1020,2040,,0.4627450980392157,0.4456386962548074,0.4333333333333333,0.2174229705006662,200.65680623054504,mps
standard,baseline,,,44,,True,True,510,1020,2040,,0.496078431372549,0.5483357084297457,0.4833333333333333,0.2588944323818969,197.0004060268402,mps
autoaugment,baseline,,,42,,True,True,510,1020,2040,,0.3352941176470588,0.3916052423393802,0.3019607843137254,0.1828693485791364,199.35841989517212,mps
autoaugment,baseline,,,43,,True,True,510,1020,2040,,0.3333333333333333,0.3557823426785218,0.2397058823529411,0.1337140775455303,197.09528923034668,mps
autoaugment,baseline,,,44,,True,True,510,1020,2040,,0.3774509803921568,0.4188778602501279,0.367156862745098,0.1879682853564844,201.2929937839508,mps
randaugment,baseline,,,42,,True,True,510,1020,2040,,0.4264705882352941,0.4941450148289592,0.3769607843137255,0.2098603143942091,218.81818795204163,mps
randaugment,baseline,,,43,,True,True,510,1020,2040,,0.5470588235294118,0.5984243444389691,0.5416666666666666,0.2712036429235351,231.10069584846497,mps
randaugment,baseline,,,44,,True,True,510,1020,2040,,0.4529411764705882,0.514006488586195,0.4558823529411764,0.2436044374272337,223.57203197479248,mps
trivialaugment,baseline,,,42,,True,True,510,1020,2040,,0.5107843137254902,0.5578473960025769,0.4862745098039215,0.2392886678864619,229.11451697349548,mps
trivialaugment,baseline,,,43,,True,True,510,1020,2040,,0.5607843137254902,0.6014809282244532,0.5210784313725491,0.2663012563255894,235.29268193244937,mps
trivialaugment,baseline,,,44,,True,True,510,1020,2040,,0.4362745098039216,0.4949559875449368,0.4166666666666667,0.2547803059748701,222.70975399017337,mps
augmix,baseline,,,42,,True,True,510,1020,2040,,0.396078431372549,0.4425231090772504,0.442156862745098,0.2267018668884493,297.41032910346985,mps
augmix,baseline,,,43,,True,True,510,1020,2040,,0.4088235294117647,0.490745466506897,0.3852941176470588,0.2218967715103428,310.62270307540894,mps
augmix,baseline,,,44,,True,True,510,1020,2040,,0.438235294117647,0.5058423145072253,0.3803921568627451,0.2333409985716193,301.9304111003876,mps
one_shot_llm,one_shot,one_shot_000,one_shot_heuristic_llm,,,True,True,510,1020,2040,20,0.1215686274509803,0.1429012130177321,0.0852941176470588,0.0605654778012058,206.88107419013977,mps
random_search,random_rough,random_000,random_search,,,True,False,510,1020,2040,3,0.0098039215686274,0.0002112914131169,,,34.8021719455719,mps
random_search,random_rough,random_001,random_search,,,True,False,510,1020,2040,3,0.0558823529411764,0.0368177616773416,,,33.95647931098938,mps
random_search,random_rough,random_002,random_search,,,True,False,510,1020,2040,3,0.0352941176470588,0.0258082733637765,,,37.69806909561157,mps
random_search,random_rough,random_003,random_search,,,True,False,510,1020,2040,3,0.0833333333333333,0.0708153944080605,,,36.013718605041504,mps
random_search,random_rough,random_004,random_search,,,True,False,510,1020,2040,3,0.0254901960784313,0.0182917614172984,,,39.20502924919128,mps
random_search,random_rough,random_005,random_search,,,True,False,510,1020,2040,3,0.0274509803921568,0.0204299632191291,,,40.22002816200256,mps
random_search,random_rough,random_006,random_search,,,True,False,510,1020,2040,3,0.0941176470588235,0.0752189703093717,,,41.500885009765625,mps
