method,valid,policy_id,source,stage,train_size,val_size,test_size,epochs,val_accuracy,val_macro_f1,runtime_sec,device,test_accuracy,test_macro_f1
random_search,True,random_000,random_search,random_rough,510,1020,2040,3,0.00980392156862745,0.00021129141311697095,34.8021719455719,mps,,
random_search,True,random_001,random_search,random_rough,510,1020,2040,3,0.05588235294117647,0.036817761677341646,33.95647931098938,mps,,
random_search,True,random_002,random_search,random_rough,510,1020,2040,3,0.03529411764705882,0.025808273363776557,37.69806909561157,mps,,
random_search,True,random_003,random_search,random_rough,510,1020,2040,3,0.08333333333333333,0.07081539440806056,36.013718605041504,mps,,
random_search,True,random_004,random_search,random_rough,510,1020,2040,3,0.025490196078431372,0.018291761417298484,39.205029249191284,mps,,
random_search,True,random_005,random_search,random_rough,510,1020,2040,3,0.027450980392156862,0.02042996321912914,40.22002816200256,mps,,
random_search,True,random_006,random_search,random_rough,510,1020,2040,3,0.09411764705882353,0.07521897030937179,41.500885009765625,mps,,
random_search,True,random_007,random_search,random_rough,510,1020,2040,3,0.15490196078431373,0.15248727985006397,38.98774576187134,mps,,
random_search,True,random_008,random_search,random_rough,510,1020,2040,3,0.11274509803921569,0.10413635807769682,42.10079288482666,mps,,
random_search,True,random_009,random_search,random_rough,510,1020,2040,3,0.13431372549019607,0.10090097330916782,35.12132120132446,mps,,
random_search,True,random_010,random_search,random_rough,510,1020,2040,3,0.07745098039215687,0.06079960668437398,35.264705181121826,mps,,
random_search,True,random_011,random_search,random_rough,510,1020,2040,3,0.2,0.1934727938051559,32.679774045944214,mps,,
random_search_full,True,random_011,random_search,random_full,510,1020,2040,20,0.40098039215686276,0.4597215910941928,204.2045419216156,mps,0.2661764705882353,0.1850014409521024
random_search_full,True,random_007,random_search,random_full,510,1020,2040,20,0.2607843137254902,0.30961840547780417,235.77653884887695,mps,0.2901960784313726,0.1571498336411185
random_search_full,True,random_009,random_search,random_full,510,1020,2040,20,0.30392156862745096,0.3655298641095151,228.48832321166992,mps,0.1607843137254902,0.1270798647969899
