method,seed,train_size,val_size,test_size,val_accuracy,val_macro_f1,runtime_sec,device,test_accuracy,test_macro_f1
none,37,200,200,500,0.165,0.07736861861861861,1.6694719791412354,mps,0.116,0.054034694744097035
standard,37,200,200,500,0.195,0.12184057971014492,0.5155019760131836,mps,0.164,0.0974830726866005
standard_color,37,200,200,500,0.155,0.08913601665510062,0.6521410942077637,mps,0.138,0.07348674619711644
standard_erasing,37,200,200,500,0.145,0.06800974927988274,0.5349030494689941,mps,0.146,0.07853806436502613
standard_mixup,37,200,200,500,0.23,0.1718104444575033,0.5685181617736816,mps,0.234,0.17380766318411348
standard_cutmix,37,200,200,500,0.2,0.12955606008533033,0.5355420112609863,mps,0.188,0.11487408921224204
randaugment,37,200,200,500,0.145,0.04946190271201033,0.5876879692077637,mps,0.154,0.05144096753889038
trivialaugment,37,200,200,500,0.195,0.1113389997536339,0.5448968410491943,mps,0.166,0.09409581638646079
