method,val_accuracy_mean,val_accuracy_std,val_accuracy_count,val_macro_f1_mean,val_macro_f1_std,val_macro_f1_count,test_accuracy_mean,test_accuracy_std,test_accuracy_count,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_count,runtime_sec_mean,runtime_sec_std,runtime_sec_count
none,0.165,,1,0.0773686186186186,,1,0.116,,1,0.054034694744097,,1,1.6694719791412354,,1
randaugment,0.145,,1,0.0494619027120103,,1,0.154,,1,0.0514409675388903,,1,0.5876879692077637,,1
ranked_llm_evolution,0.20600000000000002,0.009617692030835664,5,,,0,0.192,0.012247448713915893,5,0.11581791263073973,0.01491815062306326,5,0.7772152900695801,0.036382693967605,5
standard,0.195,,1,0.1218405797101449,,1,0.164,,1,0.0974830726866005,,1,0.5155019760131836,,1
standard_color,0.155,,1,0.0891360166551006,,1,0.138,,1,0.0734867461971164,,1,0.6521410942077637,,1
standard_cutmix,0.2,,1,0.1295560600853303,,1,0.188,,1,0.114874089212242,,1,0.5355420112609863,,1
standard_erasing,0.145,,1,0.0680097492798827,,1,0.146,,1,0.0785380643650261,,1,0.5349030494689941,,1
standard_mixup,0.23,,1,0.1718104444575033,,1,0.234,,1,0.1738076631841134,,1,0.5685181617736816,,1
trivialaugment,0.195,,1,0.1113389997536339,,1,0.166,,1,0.0940958163864607,,1,0.5448968410491943,,1
