method,val_accuracy_mean,val_accuracy_std,val_accuracy_count,val_macro_f1_mean,val_macro_f1_std,val_macro_f1_count,test_accuracy_mean,test_accuracy_std,test_accuracy_count,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_count,runtime_sec_mean,runtime_sec_std,runtime_sec_count
augmix,0.3960000000000001,0.009000000000000008,3,0.38982969791671485,0.007762109142592726,3,0.38833333333333336,0.010692676621563644,3,0.3797911933739682,0.012682061316473626,3,46.54785005251566,0.165641630834106,3
autoaugment,0.39366666666666666,0.003785938897200181,3,0.3862498417982458,0.005472428529704301,3,0.3983333333333334,0.01601821879402742,3,0.38764291106231336,0.006177302406681315,3,22.622173070907593,0.6333038714741187,3
none,0.4003333333333334,0.017925772879664986,3,0.39546033783056594,0.021193037968895403,3,0.3893333333333333,0.01926352338834546,3,0.38423955738262244,0.02164717269700056,3,18.011552095413208,0.5233251524211268,3
randaugment,0.435,0.007211102550927985,3,0.42436343530749204,0.008890126800019434,3,0.43966666666666665,0.008948929172439201,3,0.42676330773743576,0.009167086615303641,3,21.180999517440796,0.31602651474403703,3
standard,0.4426666666666667,0.016258331197676276,3,0.43675204738116796,0.017913608394267016,3,0.43183333333333335,0.02074447717666884,3,0.4211675101693632,0.016574659745690376,3,20.037866751352947,0.21856580597451805,3
trivialaugment,0.42966666666666664,0.02411085509336685,3,0.41600459952944696,0.0246912220377552,3,0.424,0.01967866865415446,3,0.4058815931050221,0.025242942845038658,3,19.89107076327006,0.1428629414476267,3
