method,val_accuracy_mean,val_accuracy_std,val_accuracy_count,val_macro_f1_mean,val_macro_f1_std,val_macro_f1_count,test_accuracy_mean,test_accuracy_std,test_accuracy_count,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_count,runtime_sec_mean,runtime_sec_std,runtime_sec_count
none,0.1,,1,0.0181818181818181,,1,0.09,,1,0.016589861751152,,1,1.9794471263885496,,1
randaugment,0.1,,1,0.0437806637806637,,1,0.105,,1,0.0310162002945508,,1,0.0865688323974609,,1
standard,0.15,,1,0.0705361305361305,,1,0.16,,1,0.0792195453926772,,1,0.089141845703125,,1
