method,seed,train_size,val_size,test_size,val_accuracy,val_macro_f1,runtime_sec,device,test_accuracy,test_macro_f1
none,21,100,100,200,0.1,0.01818181818181818,1.9794471263885498,mps,0.09,0.016589861751152075
standard,21,100,100,200,0.15,0.07053613053613053,0.089141845703125,mps,0.16,0.07921954539267728
randaugment,21,100,100,200,0.1,0.04378066378066378,0.08656883239746094,mps,0.105,0.03101620029455081
