policy_id,generation,source,status,validation_ok,num_sub_policies,num_operations,mean_probability,mean_magnitude,mixup_alpha,cutmix_alpha,rough_val_accuracy,rough_val_macro_f1,full_val_accuracy,full_test_accuracy
heuristic_init_000,0,heuristic,rough_evaluated,True,1,2,0.6950000000000001,0.51,0.0,0.0,0.12,0.05731162196679438,,
heuristic_init_001,0,heuristic,rough_evaluated,True,1,1,0.51,0.56,0.33,0.0,0.09,0.03678646934460888,,
heuristic_init_002,0,heuristic,rough_evaluated,True,1,3,0.49666666666666665,0.49666666666666665,0.0,0.0,0.1,0.01818181818181818,,
gen01_mut_000,1,heuristic_feedback,full_evaluated,True,1,2,0.625,0.565,0.0,0.0,0.14,0.0474671669793621,0.11,0.18
gen01_mut_001,1,heuristic_feedback,rough_evaluated,True,1,2,0.805,0.515,0.0,0.0,0.1,0.01818181818181818,,
