method,val_accuracy_mean,val_accuracy_std,val_accuracy_count,val_macro_f1_mean,val_macro_f1_std,val_macro_f1_count,test_accuracy_mean,test_accuracy_std,test_accuracy_count,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_count,runtime_sec_mean,runtime_sec_std,runtime_sec_count,final_pseudo_mask_rate_mean,final_pseudo_mask_rate_std,final_pseudo_mask_rate_count,final_pseudo_confidence_mean,final_pseudo_confidence_std,final_pseudo_confidence_count,best_pseudo_mask_rate_mean,best_pseudo_mask_rate_std,best_pseudo_mask_rate_count,best_pseudo_confidence_mean,best_pseudo_confidence_std,best_pseudo_confidence_count,best_unsupervised_loss_mean,best_unsupervised_loss_std,best_unsupervised_loss_count,display_name
fixmatch_standard,0.41,0.2684697375869391,3,0.3750847544502176,0.3090912275704845,3,0.4056666666666667,0.2678443266775187,3,0.3696277761434712,0.3049144767253826,3,449.5514787038167,8.995433768217918,3,0.2295005341880341,0.3975065855778733,3,0.3726448191282077,0.4122665827100595,3,0.3381911057692307,0.4700588648572832,2,0.5371498898722422,0.4287133644410378,2,0.0886905020720755,0.1238451786967967,2,FixMatch Standard
fixmatch_randaugment,0.6266666666666666,0.0149777612924406,3,0.6229214972592698,0.0143899385937449,3,0.6185,0.0141067359796658,3,0.6102807807020154,0.0171707134289121,3,481.2479039827983,3.3045712208296125,3,0.6332799145299145,0.0032768378625306,3,0.8190575086662912,0.0022398389965202,3,0.633964342948718,0.0043202637872975,2,0.8191289275120466,0.0031627762411355,2,0.317263862165885,0.0023163614804852,2,FixMatch RandAugment
fixmatch_trivialaugment,0.5376666666666666,0.1521983355143325,3,0.533204889893955,0.1485145821580319,3,0.5388333333333333,0.1473400262431541,3,0.5327810832683478,0.1450295669219825,3,470.55918288230896,4.904706885528563,3,0.4001068376068376,0.3467397823639352,3,0.5773650165806469,0.3885580183068262,3,0.3175080128205128,0.4178615794271465,2,0.6017660349607468,0.2897534889700329,2,0.2559496188261665,0.3337509816803661,2,FixMatch TrivialAugment
fixmatch_llm_evolved_cifar_best,0.5823333333333333,0.0330807093837682,3,0.5831083629186384,0.0326168417307564,3,0.5726666666666667,0.0219393102292057,3,0.5669516887167615,0.0236538652079564,3,458.4163703918457,13.296018275762814,3,0.6835269764957265,0.0086881926258605,3,0.8461708686290642,0.0047291373595887,3,0.6779346955128205,0.0125358473828144,2,0.8436980411792413,0.0058208045262256,2,0.1815826907180822,0.0020948198133529,2,FixMatch LLM reused
fixmatch_llm_repaired_mut_001,0.486,0.1286506898543494,3,0.4688736549201637,0.1382303013906544,3,0.4815,0.097524355932249,3,0.4649289028773569,0.1032714042586631,3,457.99742301305133,12.184921350329445,3,0.2271300747863247,0.3934008294568333,3,0.3660478010200537,0.4147722902049854,3,0.387520032051282,0.2545029149780116,3,0.6879668347855917,0.1360513696963682,3,0.1214040059070938,0.0839767454867618,3,FixMatch LLM repaired
