method,policy_id,generation,source,valid,rough_val_accuracy,rough_val_macro_f1,full_val_accuracy,full_test_accuracy,full_test_macro_f1,runtime_sec
pure_evolution,heuristic_init_000,0,heuristic,True,0.020588235294117647,0.014252682714852302,,,,38.3985710144043
pure_evolution,heuristic_init_001,0,heuristic,True,0.07450980392156863,0.049159145499639956,,,,36.01017189025879
pure_evolution,heuristic_init_002,0,heuristic,True,0.12941176470588237,0.14753578649983215,,,,38.97494578361511
pure_evolution,heuristic_init_003,0,heuristic,True,0.12549019607843137,0.08812348496014395,,,,41.20133829116821
pure_evolution,heuristic_init_004,0,heuristic,True,0.03333333333333333,0.022784892008071874,,,,37.77605581283569
pure_evolution,heuristic_init_005,0,heuristic,True,0.11960784313725491,0.0811199001614323,,,,39.04497718811035
pure_evolution,heuristic_init_006,0,heuristic,True,0.09803921568627451,0.07927863868031522,,,,60.78948402404785
pure_evolution,heuristic_init_007,0,heuristic,True,0.16862745098039217,0.1747850794795357,,,,43.72197198867798
pure_evolution,gen01_mut_000,1,pure_evolution_mutation,True,0.1568627450980392,0.15878301304290687,,,,38.60372614860535
pure_evolution,gen01_mut_001,1,pure_evolution_mutation,True,0.059803921568627454,0.05845186209478522,,,,36.93296718597412
pure_evolution,gen01_mut_002,1,pure_evolution_mutation,True,0.14019607843137255,0.13189844460443143,,,,33.78204703330994
pure_evolution,gen01_cross_003,1,pure_evolution_crossover,True,0.19019607843137254,0.13672247713935856,,,,46.061318159103394
pure_evolution,gen01_mut_004,1,pure_evolution_mutation,True,0.1323529411764706,0.08222737827086113,,,,39.51931285858154
pure_evolution,gen01_mut_005,1,pure_evolution_mutation,True,0.09509803921568627,0.10874814218555812,,,,34.118019104003906
pure_evolution,gen01_cross_006,1,pure_evolution_crossover,True,0.045098039215686274,0.028726270280787912,,,,39.05585026741028
pure_evolution,gen01_mut_007,1,pure_evolution_mutation,True,0.10098039215686275,0.0929048231349458,,,,39.51051115989685
pure_evolution,gen02_mut_000,2,pure_evolution_mutation,True,0.027450980392156862,0.023207232982319487,,,,41.933475971221924
pure_evolution,gen02_mut_001,2,pure_evolution_mutation,True,0.058823529411764705,0.04787792519853786,,,,43.52239179611206
pure_evolution,gen02_mut_002,2,pure_evolution_mutation,True,0.09901960784313725,0.09329620067559401,,,,39.776896953582764
pure_evolution,gen02_cross_003,2,pure_evolution_crossover,True,0.024509803921568627,0.013506453317234485,,,,46.49752593040466
pure_evolution,gen02_mut_004,2,pure_evolution_mutation,True,0.058823529411764705,0.049965832708735496,,,,44.100971937179565
pure_evolution,gen02_mut_005,2,pure_evolution_mutation,True,0.09117647058823529,0.07977619271099796,,,,39.79137992858887
pure_evolution,gen02_cross_006,2,pure_evolution_crossover,True,0.09803921568627451,0.06731755169933173,,,,47.224979877471924
pure_evolution,gen02_mut_007,2,pure_evolution_mutation,True,0.07647058823529412,0.05725904602386907,,,,45.25682306289673
pure_evolution,gen03_mut_000,3,pure_evolution_mutation,True,0.06568627450980392,0.04307470857669885,,,,41.55862092971802
pure_evolution,gen03_mut_001,3,pure_evolution_mutation,True,0.0392156862745098,0.03538687088141568,,,,42.44944095611572
pure_evolution,gen03_mut_002,3,pure_evolution_mutation,True,0.22647058823529412,0.22272807383797444,0.3990196078431373,0.33137254901960783,0.19879766336513732,276.53238892555237
pure_evolution,gen03_cross_003,3,pure_evolution_crossover,True,0.2529411764705882,0.2477230320382408,0.37450980392156863,0.32794117647058824,0.1928496363809373,355.76720905303955
pure_evolution,gen03_mut_004,3,pure_evolution_mutation,True,0.35,0.3734961764481981,0.28921568627450983,0.2803921568627451,0.16388337028711877,291.7325131893158
pure_evolution,gen03_mut_005,3,pure_evolution_mutation,True,0.1323529411764706,0.1262727278960231,,,,38.641664028167725
pure_evolution,gen03_cross_006,3,pure_evolution_crossover,True,0.05196078431372549,0.04914119701788781,,,,47.225929975509644
pure_evolution,gen03_mut_007,3,pure_evolution_mutation,True,0.14607843137254903,0.10531208003917084,,,,42.42387795448303
