method,stage,policy_id,source,seed,generation,valid,train_size,unlabeled_size,val_size,test_size,epochs,threshold,lambda_u,val_accuracy,val_macro_f1,runtime_sec,device,final_pseudo_mask_rate,final_pseudo_confidence,best_epoch,best_pseudo_mask_rate,best_pseudo_confidence,best_unsupervised_loss,test_accuracy,test_macro_f1,objective_score,policy_complexity,distortion_proxy
fixmatch_ranked_llm_evolution,fixmatch,seed_01_randaugment,baseline_seed:randaugment,61,0,True,1000,10000,1000,2000,15,0.8,1.0,0.593,0.5933854156696916,433.9453489780426,mps,0.0,0.16404080792115286,13,0.6440304487179487,0.8269931521171179,0.2113682703138926,0.5695,0.5647467103749273,0.636161562420242,0.7333333333333333,0.13759375000000001
fixmatch_ranked_llm_evolution,fixmatch,init_supervised_llm_gen02_mut_005,supervised_openai_ranked_policy,61,0,True,1000,10000,1000,2000,15,0.8,1.0,0.1,0.01818181818181818,434.9369831085205,mps,0.0,0.1205473733253968,1,0.0035056089743589745,0.23504985907138923,0.0008359828744477665,0.0975,0.01776765375854214,0.0994642787878788,0.2125,0.11402666666666667
fixmatch_ranked_llm_evolution,fixmatch,seed_00_standard,baseline_seed:standard,61,0,True,1000,10000,1000,2000,15,0.8,1.0,0.457,0.43910753638863137,431.87441086769104,mps,0.0,0.1242559597087212,2,0.1323116987179487,0.5291947588706628,0.034463261492932454,0.4345,0.41449171792261996,0.4891452695777572,0.18333333333333332,0.225
