epoch,policy_id,policy_source,train_loss,val_accuracy,val_macro_f1,objective_score,policy_complexity,distortion_proxy
1,adaptive_policy_000,baseline_seed:standard,2.1119781494140626,0.17,0.09136404697380307,0.172803071364047,0.18333333333333332,0.225
2,adaptive_policy_000,baseline_seed:standard,0.937575659751892,0.1,0.01818181818181818,0.09548484848484848,0.18333333333333332,0.225
3,adaptive_policy_001,openai_ranked_mutation,1.3607007217407228,0.1,0.01818181818181818,0.0944063484848485,0.4325,0.15434166666666665
4,adaptive_policy_001,openai_ranked_mutation,1.0421075344085693,0.1,0.01834862385321101,0.09442302905198778,0.4325,0.15434166666666665
5,adaptive_policy_002,openai_ranked_mutation,1.2586321353912353,0.09,0.016981132075471698,0.08659834654088051,0.21475,0.14761333333333335
