method,stage,policy_id,source,seed,generation,valid,is_final_comparison,train_size,unlabeled_size,val_size,test_size,epochs,val_accuracy,val_macro_f1,test_accuracy,test_macro_f1,runtime_sec,final_pseudo_mask_rate,final_pseudo_confidence,best_pseudo_mask_rate,best_pseudo_confidence,best_unsupervised_loss,device
fixmatch_llm_repaired_cross_000,fixmatch,fm_gen01_cross_000_repaired,repaired_openai_ranked_mutation,61,,True,True,1000,10000,1000,2000,15,0.608,0.6062319793246035,0.589,0.5808843673268446,440.0042099952698,0.0349559294871794,0.2009090166061352,0.6930088141025641,0.8498953122359055,0.1906723991418496,mps
fixmatch_llm_repaired_mut_001,fixmatch,fm_gen01_mut_001_repaired,repaired_openai_ranked_mutation,61,,True,True,1000,10000,1000,2000,15,0.627,0.6206248569650835,0.5905,0.5805318204750257,444.922199010849,0.6813902243589743,0.8449750305750431,0.6813902243589743,0.8449750305750431,0.2183609251410533,mps
