method,val_accuracy_mean,val_accuracy_std,val_accuracy_count,val_macro_f1_mean,val_macro_f1_std,val_macro_f1_count,test_accuracy_mean,test_accuracy_std,test_accuracy_count,test_macro_f1_mean,test_macro_f1_std,test_macro_f1_count,runtime_sec_mean,runtime_sec_std,runtime_sec_count,final_pseudo_mask_rate_mean,final_pseudo_mask_rate_std,final_pseudo_mask_rate_count,final_pseudo_confidence_mean,final_pseudo_confidence_std,final_pseudo_confidence_count,best_pseudo_mask_rate_mean,best_pseudo_mask_rate_std,best_pseudo_mask_rate_count,best_pseudo_confidence_mean,best_pseudo_confidence_std,best_pseudo_confidence_count,best_unsupervised_loss_mean,best_unsupervised_loss_std,best_unsupervised_loss_count
none,0.373,0.0017320508075688787,3,0.3601396499971577,0.01412905980730426,3,0.3551666666666667,0.011536174987114813,3,0.3447416157596947,0.01958944517921012,3,29.450671990712483,0.6758840883677645,3,,,0,,,0,,,0,,,0,,,0
randaugment,0.45566666666666666,0.023713568549109866,3,0.4490818754103514,0.02590745276291421,3,0.4478333333333333,0.031631998566852094,3,0.4357624367843296,0.027330915720545957,3,31.007342020670574,0.07997365953144159,3,,,0,,,0,,,0,,,0,,,0
standard,0.45566666666666666,0.021548395145191968,3,0.4468472099106447,0.0225920666498786,3,0.44883333333333336,0.012352462642458515,3,0.43399319999056857,0.014234252628571597,3,30.030876000722248,0.15238380087606498,3,,,0,,,0,,,0,,,0,,,0
standard_cutmix,0.4653333333333333,0.01858314648635514,3,0.44930950890270366,0.019330762428648625,3,0.457,0.011302654555457325,3,0.4372215348523034,0.02003874340592404,3,30.234176238377888,0.05342921645323916,3,,,0,,,0,,,0,,,0,,,0
standard_mixup,0.4586666666666666,0.015044378795195679,3,0.45344542624931133,0.01131491165337449,3,0.446,0.006763874629234334,3,0.43469134814462485,0.007894490195217256,3,30.364715258280437,0.447946300557807,3,,,0,,,0,,,0,,,0,,,0
supervised_llm_evolved_best,0.46366666666666667,0.019731531449264983,3,0.4535952942395817,0.01942850329493441,3,0.4483333333333333,0.018057777641042494,3,0.4351011112210121,0.016956690952427435,3,30.978790283203125,0.42182680870656586,3,,,0,,,0,,,0,,,0,,,0
trivialaugment,0.38999999999999996,0.02007485989988471,3,0.3632139387887578,0.039093596478294385,3,0.3901666666666667,0.019901842460770636,3,0.3598991501405851,0.03902475297983499,3,30.940290053685505,0.7773530126745484,3,,,0,,,0,,,0,,,0,,,0
