method,seed,train_size,val_size,test_size,val_accuracy,val_macro_f1,runtime_sec,device,test_accuracy,test_macro_f1
none,33,100,100,200,0.15,0.06436487638533675,0.7225940227508545,mps,0.15,0.06472065991751032
standard,33,100,100,200,0.22,0.17159579550883902,0.2207181453704834,mps,0.245,0.18132684652808492
randaugment,33,100,100,200,0.14,0.05341074020319303,0.20681500434875488,mps,0.115,0.04693181818181818
trivialaugment,33,100,100,200,0.16,0.090452847805789,0.19577383995056152,mps,0.17,0.1071894771894772
